epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2654,1.00573,2.83254,1.30368,0.93574,0.78936,0.93157,0.72357,1.19514,0.83005,1.12785,0,0,0
2,28.2509,1.35399,2.1821,1.59089,0.92612,0.79306,0.93268,0.73641,1.19148,0.83368,1.12759,1.16644e-06,1.16644e-06,1.16644e-06
3,40.2059,1.30248,2.17174,1.74249,0.92664,0.79386,0.93269,0.73658,1.19366,0.83667,1.12875,2.28575e-06,2.28575e-06,2.28575e-06
4,50.593,1.34599,3.16685,1.7069,0.91917,0.79665,0.93135,0.73598,1.19026,0.84905,1.12719,3.35794e-06,3.35794e-06,3.35794e-06
5,61.4657,1.07954,2.91537,1.44173,0.9189,0.79759,0.93075,0.73175,1.19791,0.84323,1.13281,4.38301e-06,4.38301e-06,4.38301e-06
6,71.8082,1.0989,3.24992,1.53313,0.90581,0.802,0.92971,0.71519,1.20218,0.86017,1.13466,5.36095e-06,5.36095e-06,5.36095e-06
7,82.8972,1.12103,1.57771,1.3118,0.90384,0.80342,0.92971,0.73765,1.21087,0.85767,1.13924,6.29177e-06,6.29177e-06,6.29177e-06
8,93.5163,0.91822,2.27542,1.28669,0.88779,0.80749,0.93224,0.73855,1.21093,0.86686,1.13982,7.17546e-06,7.17546e-06,7.17546e-06
9,104.263,0.89101,1.82641,1.23288,0.86484,0.81228,0.93117,0.722,1.21168,0.87522,1.14205,8.01203e-06,8.01203e-06,8.01203e-06
10,115.062,0.96415,1.74559,1.46313,0.83299,0.81561,0.93155,0.7234,1.21156,0.88486,1.14309,8.80148e-06,8.80148e-06,8.80148e-06
11,125.613,0.99671,1.69848,1.28972,0.77209,0.83333,0.93132,0.72377,1.21415,0.90291,1.14619,9.5438e-06,9.5438e-06,9.5438e-06
12,136.988,0.97132,1.28258,1.27528,0.86439,0.81136,0.93287,0.67406,1.21708,0.9324,1.14825,1.0239e-05,1.0239e-05,1.0239e-05
