epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,424.125,0.75738,1.1975,1.14682,0.85205,0.88525,0.95777,0.57633,1.4613,1.06018,1.32889,1.11965e-05,1.11965e-05,1.11965e-05
40,435.16,0.54152,0.68384,0.99795,0.85205,0.88525,0.95777,0.57633,1.4613,1.06018,1.32889,1.05722e-05,1.05722e-05,1.05722e-05
41,446.844,0.75386,0.6552,1.25536,0.86004,0.81472,0.92489,0.57342,1.45461,1.07423,1.31555,9.9008e-06,9.9008e-06,9.9008e-06
42,456.283,0.61364,0.55881,0.93277,0.86004,0.81472,0.92489,0.57342,1.45461,1.07423,1.31555,9.18228e-06,9.18228e-06,9.18228e-06
43,466.84,0.55881,0.5279,0.97282,0.78435,0.87624,0.93011,0.57946,1.46526,1.06686,1.32406,8.41663e-06,8.41663e-06,8.41663e-06
44,476.208,0.59644,0.51745,0.9653,0.78435,0.87624,0.93011,0.57946,1.46526,1.06686,1.32406,7.60386e-06,7.60386e-06,7.60386e-06
45,486.598,0.58923,0.44759,1.12952,0.76065,0.89907,0.93316,0.58027,1.46236,1.06363,1.33263,6.74397e-06,6.74397e-06,6.74397e-06
46,497.207,0.48105,0.43599,0.9972,0.76065,0.89907,0.93316,0.58027,1.46236,1.06363,1.33263,5.83695e-06,5.83695e-06,5.83695e-06
47,506.619,0.49662,0.41296,0.94193,0.76101,0.90222,0.93303,0.58487,1.45753,1.07211,1.32968,4.88281e-06,4.88281e-06,4.88281e-06
48,516.994,0.44227,0.43759,0.89216,0.76101,0.90222,0.93303,0.58487,1.45753,1.07211,1.32968,3.88154e-06,3.88154e-06,3.88154e-06
49,526.052,0.62787,0.59571,0.959,0.63451,0.76021,0.76744,0.5672,1.45342,1.07227,1.34378,2.83315e-06,2.83315e-06,2.83315e-06
50,536.239,0.47019,0.46556,0.81798,0.63451,0.76021,0.76744,0.5672,1.45342,1.07227,1.34378,1.73764e-06,1.73764e-06,1.73764e-06
